Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
43,"M. Kučinić","Chaetopteryx bucari sp. n., a new species from the Chaetopteryx rugulosa group from Croatia (Insecta, Trichoptera, Limnephilidae) with molecular, taxonomic and ecological notes on the group",2013,"Zookeys","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84880997471&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880997471&origin=inward",32,"2026-01-04 12:21:33","Article","10.3897/zookeys.320.4565","1313-2989","https://api.elsevier.com/content/abstract/scopus_id/84880997471",320,,1,28,43,3.31,43,1,13,"","",""
10,"P. Byrne","Changes in macroinvertebrate community structure provide evidence of neutral mine drainage impacts",2013,"Environmental Sciences Processes and Impacts","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84874408555&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874408555&origin=inward",119,"2026-01-04 12:21:33","Article","10.1039/c2em30447c","2050-7887","https://api.elsevier.com/content/abstract/scopus_id/84874408555",15,2,393,404,10,0.77,10,1,13,"","",""
6,"D.Q. Lu","Choice of macroinvertebrate metrics for constructing a benthic-index of biotic integrity based on the disturbance gradients in the Qinjiang river basin",2013,"Huanjing Kexue Environmental Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84873111218&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873111218&origin=inward",153,"2026-01-04 12:21:33","Article","","0250-3301","https://api.elsevier.com/content/abstract/scopus_id/84873111218",34,1,137,144,6,0.46,6,1,13,"","",""
9,"R.d.M. Romero","Community structure of aquatic insects (Ephemeroptera, Plecoptera, and Trichoptera) in Cerrado streams of Paraguay, Paraná, and São Francisco river basins",2013,"Biota Neotropica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84877737191&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84877737191&origin=inward",133,"2026-01-04 12:21:33","Article","10.1590/S1676-06032013000100011","1678-6424","https://api.elsevier.com/content/abstract/scopus_id/84877737191",13,1,97,107,9,0.69,9,1,13,"","",""
12,"R. Beaudouin","Comparison of species sensitivity distributions based on population or individual endpoints",2013,"Environmental Toxicology and Chemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84876408298&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876408298&origin=inward",107,"2026-01-04 12:21:33","Article","10.1002/etc.2148","0730-7268","https://api.elsevier.com/content/abstract/scopus_id/84876408298",32,5,1173,1177,12,0.92,12,1,13,"","",""
9,"L. Juen","Concordance between ephemeroptera and trichoptera assemblage in streams from cerrado–amazonia transition",2013,"Annales De Limnologie","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84996133354&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84996133354&origin=inward",127,"2026-01-04 12:21:33","Article","10.1051/limn/2013048","0003-4088","https://api.elsevier.com/content/abstract/scopus_id/84996133354",49,2,129,138,9,0.69,9,1,13,"","",""
15,"S. Rackemann","Conservation value of waterfalls as habitat for lotic insects of western Victoria, Australia",2013,"Aquatic Conservation Marine and Freshwater Ecosystems","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84872784480&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872784480&origin=inward",94,"2026-01-04 12:21:33","Article","10.1002/aqc.2304","1052-7613","https://api.elsevier.com/content/abstract/scopus_id/84872784480",23,1,171,178,15,1.15,15,1,13,"","",""
22,"M.C. Reynaga","Contrasting taxonomical and functional responses of stream invertebrates across space and time in a Neotropical basin",2013,"Fundamental and Applied Limnology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84890499121&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84890499121&origin=inward",68,"2026-01-04 12:21:33","Article","10.1127/1863-9135/2013/0501","1863-9135","https://api.elsevier.com/content/abstract/scopus_id/84890499121",183,2,121,133,22,1.69,22,1,13,"","",""
5,"M. Ingimarsdóttir","Corridor or drift fence? The role of medial moraines for fly dispersal over glacier",2013,"Polar Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84878749526&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84878749526&origin=inward",168,"2026-01-04 12:21:33","Article","10.1007/s00300-013-1316-6","0722-4060","https://api.elsevier.com/content/abstract/scopus_id/84878749526",36,7,925,932,5,0.38,5,1,13,"","",""
9,"L.A. Vivian","Current known range of the Platte River caddisfly, Ironoquia plattensis, and genetic variability among populations from three Nebraska Rivers",2013,"Journal of Insect Conservation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84884535296&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884535296&origin=inward",137,"2026-01-04 12:21:33","Article","10.1007/s10841-013-9570-z","1366-638X","https://api.elsevier.com/content/abstract/scopus_id/84884535296",17,5,885,895,9,0.69,9,1,13,"","",""
