Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
33,Cheney K.N.,Effects of Stream Temperature and Substrate Type on Emergence Patterns of Plecoptera and Trichoptera from Northeastern United States Headwater Streams,2019,Environmental Entomology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076195290&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076195290&origin=inward,,2026-04-12 18:40:14,Article,10.1093/ee/nvz106,0046225X,https://api.elsevier.com/content/abstract/scopus_id/85076195290,48,6,,,,5.5,33.0,1,6,,,,85076195290,2-s2.0-85076195290
7,Young M.K.,"Integrative taxonomy refutes a species hypothesis: The asymmetric hybrid origin of Arsapnia arapahoe (Plecoptera, Capniidae)",2019,Ecology and Evolution,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061503622&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061503622&origin=inward,,2026-04-12 18:40:14,Article,10.1002/ece3.4852,,https://api.elsevier.com/content/abstract/scopus_id/85061503622,9,3,,,,1.17,7.0,1,6,,,,85061503622,2-s2.0-85061503622
5,Chen Z.T.,A new winter stonefly (Plecoptera: Capniidae) from Shaanxi province of China,2019,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068610880&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068610880&origin=inward,,2026-04-12 18:40:14,Article,10.11646/zootaxa.4629.2.5,11755326,https://api.elsevier.com/content/abstract/scopus_id/85068610880,4629,2,,,,0.83,5.0,1,6,,,,85068610880,2-s2.0-85068610880
5,de Almeida L.H.,Anacroneuria iporanga (Plecoptera: Perlidae): Description of the nymph and biological notes,2019,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060492162&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060492162&origin=inward,,2026-04-12 18:40:14,Article,10.11646/zootaxa.4550.1.9,11755326,https://api.elsevier.com/content/abstract/scopus_id/85060492162,4550,1,,,,0.83,5.0,1,6,,,,85060492162,2-s2.0-85060492162
7,Lamine S.,"Marthamea bayae, a new species of stonefly from Algeria (Plecoptera: Perlidae)",2019,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065463864&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065463864&origin=inward,,2026-04-12 18:40:14,Article,10.11646/zootaxa.4603.2.5,11755326,https://api.elsevier.com/content/abstract/scopus_id/85065463864,4603,2,,,,1.17,7.0,1,6,,,,85065463864,2-s2.0-85065463864
2,Wang Y.,"The complete mitochondrial genome analysis of the stonefly, Flavoperla sp. (Plecoptera: Perlidae)",2019,Mitochondrial DNA Part B Resources,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074695096&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074695096&origin=inward,,2026-04-12 18:40:14,Article,10.1080/23802359.2019.1687032,,https://api.elsevier.com/content/abstract/scopus_id/85074695096,4,2,,,,0.33,2.0,1,6,,,,85074695096,2-s2.0-85074695096
4,South E.J.,"A new stonefly species (Plecoptera, Perlidae) from the Interior Highlands USA, with morphological and molecular comparison to other congeneric species",2019,Zookeys,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071609906&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071609906&origin=inward,,2026-04-12 18:40:14,Article,10.3897/zookeys.858.33818,13132989,https://api.elsevier.com/content/abstract/scopus_id/85071609906,2019,858,,,,0.67,4.0,1,6,,,,85071609906,2-s2.0-85071609906
41,Tierno de Figueroa J.M.,Trophic ecology of Plecoptera (Insecta): a review,2019,European Zoological Journal,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064465196&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064465196&origin=inward,,2026-04-12 18:40:14,Review,10.1080/24750263.2019.1592251,,https://api.elsevier.com/content/abstract/scopus_id/85064465196,86,1,,,,6.83,41.0,1,6,,,,85064465196,2-s2.0-85064465196
2,Chen M.,The mitochondrial genome from the stonefly: Claassenia sp. (Plecoptera: Perlidae),2019,Mitochondrial DNA Part B Resources,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074224579&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074224579&origin=inward,,2026-04-12 18:40:14,Article,10.1080/23802359.2019.1681918,,https://api.elsevier.com/content/abstract/scopus_id/85074224579,4,2,,,,0.33,2.0,1,6,,,,85074224579,2-s2.0-85074224579
10,Silva D.P.,Potential Effects of Future Climate Changes on Brazilian Cool-Adapted Stoneflies (Insecta: Plecoptera),2019,Neotropical Entomology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061029577&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061029577&origin=inward,,2026-04-12 18:40:14,Article,10.1007/s13744-018-0621-8,1519566X,https://api.elsevier.com/content/abstract/scopus_id/85061029577,48,1,,,,1.67,10.0,1,6,,,,85061029577,2-s2.0-85061029577
